
          -1 2026-04-27 03:02:41         3 .Trash-1000
          -1 2026-03-15 05:28:24        15 Anitigravity
          -1 2025-08-31 02:47:30         3 Attachments
          -1 2025-09-01 17:52:04         3 Course Materials
          -1 2026-01-26 04:50:47        10 Desktop
          -1 2025-12-08 22:56:39         2 Documents
          -1 2025-08-17 18:44:33         1 LUMS Important Stuff
          -1 2025-07-11 00:49:22         2 Lightroom Projects
          -1 2026-03-11 02:24:44         0 Meetings
          -1 2025-08-30 19:36:40         3 Microsoft Copilot Chat Files
          -1 2026-03-13 15:56:49         1 Microsoft Teams Chat Files
          -1 2025-09-12 14:31:11         0 Office Lens
          -1 2026-01-26 04:50:48         2 Pictures
          -1 2025-10-04 02:42:47         1 Projects
          -1 2026-04-18 04:30:52         1 ProxmoxBackups
          -1 2026-03-11 02:24:44         0 Recordings
          -1 2025-08-31 22:27:22         0 Scans
          -1 2025-09-04 04:03:19         6 VSCode Tests
          -1 2026-05-20 22:41:40         1 Videos
          -1 2026-01-16 02:49:59         6 vw-data
